Thread;Milliseconds;Numbers found
Thread1 ;0,57.4479;37
Thread2 ;1,169.1321;59
Thread3 ;2,154.9613;79
Thread4;3,148.449;93
Thread5;4,214.8674;86
Thread6 ;5,204.8104;102
Thread7;6,194.319;98
Thread8;7,147.7162;79
